Timestamp,Cameras,Occupancy
2022-05-25 15:49:13,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:14,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:14,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:15,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:15,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:16,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:16,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:17,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",3
2022-05-25 15:49:17,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",3
2022-05-25 15:49:18,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:18,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:19,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:19,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:20,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:20,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:21,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",3
2022-05-25 15:49:22,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:22,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",4
2022-05-25 15:49:23,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",4
2022-05-25 15:49:23,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:24,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:24,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:25,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",0
2022-05-25 15:49:25,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",0
2022-05-25 15:49:26,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:26,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",0
2022-05-25 15:49:27,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:27,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:28,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:28,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:29,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:29,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:30,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",0
2022-05-25 15:49:30,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",0
2022-05-25 15:49:31,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:31,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:32,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:32,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:33,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",0
2022-05-25 15:49:33,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:34,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:34,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:35,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:35,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:36,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:36,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:37,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:37,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:38,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:38,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:39,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",2
2022-05-25 15:49:39,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
2022-05-25 15:49:40,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",0
2022-05-25 15:49:40,"[{'camera_id': '0', 'camera_name': 'Garden-Camera'}]",1
