Version,Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore,Detections,ViolationsIndexes
1.0,2022-06-08 08:47:03,4,1,0.94,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [455.58155059814453, 303.6468315124512, 508.0362319946289, 443.4507179260254], 'bbox': [0.7118462, 0.63259757, 0.7938066, 0.92385566], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [368.36936950683594, 177.179274559021, 393.4064483642578, 265.6410598754883], 'bbox': [0.57557714, 0.3691235, 0.6146976, 0.5534189], 'tracking_id': 1}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [434.6276092529297, 80.92546463012695, 449.29710388183594, 132.09913730621338], 'bbox': [0.67910564, 0.16859472, 0.7020267, 0.27520654], 'tracking_id': 2}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [434.3312454223633, 68.74231338500977, 447.82909393310547, 112.1755599975586], 'bbox': [0.6786426, 0.14321315, 0.69973296, 0.23369908], 'tracking_id': 3}]","[2, 3]"
1.0,2022-06-08 08:47:03,6,1,0.91,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [355.0768280029297, 188.23731422424316, 382.63832092285156, 274.22078132629395], 'bbox': [0.55480754, 0.39216107, 0.5978724, 0.5712933], 'tracking_id': 1}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [455.63488006591797, 301.62795066833496, 507.4861526489258, 444.31363105773926], 'bbox': [0.7119295, 0.62839156, 0.7929471, 0.9256534], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [432.6821517944336, 82.00198173522949, 448.97449493408203, 142.47154712677002], 'bbox': [0.67606586, 0.17083746, 0.70152265, 0.29681572], 'tracking_id': 2}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [305.4404640197754, 64.54423427581787, 316.51906967163086, 106.6389799118042], 'bbox': [0.47725073, 0.13446715, 0.49456105, 0.22216454], 'tracking_id': 4}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [502.2684860229492, 146.94535732269287, 524.2171859741211, 213.22973728179932], 'bbox': [0.7847945, 0.30613616, 0.81908935, 0.44422862], 'tracking_id': 5}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [434.37252044677734, 70.06808996200562, 447.12268829345703, 111.86282873153687], 'bbox': [0.67870706, 0.14597519, 0.6986292, 0.23304756], 'tracking_id': 6}]","[2, 5]"
1.0,2022-06-08 08:47:04,6,1,0.91,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [455.6131362915039, 301.6249752044678, 506.28055572509766, 443.7345600128174], 'bbox': [0.7118955, 0.62838537, 0.79106337, 0.924447], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [430.40077209472656, 96.99550151824951, 447.40028381347656, 159.16544437408447], 'bbox': [0.6725012, 0.20207396, 0.69906294, 0.33159468], 'tracking_id': 7}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [301.20500564575195, 59.36060428619385, 315.02885818481445, 104.30302619934082], 'bbox': [0.47063282, 0.123667926, 0.4922326, 0.21729797], 'tracking_id': 4}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [433.5654830932617, 84.262375831604, 446.9302749633789, 129.44297790527344], 'bbox': [0.67744607, 0.17554662, 0.69832855, 0.26967287], 'tracking_id': 2}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [344.5418167114258, 194.44483280181885, 373.64429473876953, 294.09719467163086], 'bbox': [0.5383466, 0.4050934, 0.5838192, 0.6127025], 'tracking_id': 1}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [505.79933166503906, 142.3639726638794, 526.2938690185547, 213.24450016021729], 'bbox': [0.79031146, 0.2965916, 0.8223342, 0.44425938], 'tracking_id': 5}]","[1, 3]"
1.0,2022-06-08 08:47:04,5,0,0.94,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [330.5521774291992, 211.0546588897705, 359.99095916748047, 311.95990562438965], 'bbox': [0.5164878, 0.4396972, 0.5624859, 0.64991647], 'tracking_id': 1}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [455.2970886230469, 301.16291999816895, 504.5526885986328, 444.5510959625244], 'bbox': [0.7114017, 0.62742275, 0.7883636, 0.9261481], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [428.6098861694336, 92.89961099624634, 446.8899917602539, 168.30119132995605], 'bbox': [0.66970295, 0.19354086, 0.6982656, 0.35062748], 'tracking_id': 7}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [477.2231674194336, 55.24292707443237, 491.68399810791016, 116.08798742294312], 'bbox': [0.7456612, 0.11508943, 0.76825625, 0.24184997], 'tracking_id': 8}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [300.29491424560547, 59.525249004364014, 312.92030334472656, 103.09638261795044], 'bbox': [0.4692108, 0.124010935, 0.48893797, 0.21478413], 'tracking_id': 4}]",[]
1.0,2022-06-08 08:47:05,3,0,0.96,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [454.93377685546875, 301.10950469970703, 504.62440490722656, 446.7498207092285], 'bbox': [0.710834, 0.62731147, 0.78847563, 0.9307288], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [314.1514205932617, 232.28200435638428, 346.3285446166992, 339.645938873291], 'bbox': [0.4908616, 0.48392084, 0.54113835, 0.7075957], 'tracking_id': 1}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [426.32816314697266, 95.53642988204956, 444.5669937133789, 168.95550727844238], 'bbox': [0.66613775, 0.19903423, 0.6946359, 0.35199064], 'tracking_id': 7}]",[]
1.0,2022-06-08 08:47:05,4,0,0.95,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [291.34700775146484, 252.23233222961426, 328.5772705078125, 367.2667407989502], 'bbox': [0.4552297, 0.525484, 0.513402, 0.76513904], 'tracking_id': 1}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [455.1890563964844, 300.02108573913574, 504.4042205810547, 446.3354015350342], 'bbox': [0.7112329, 0.6250439, 0.7881316, 0.9298654], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [421.57230377197266, 97.53878116607666, 442.55786895751953, 172.2935914993286], 'bbox': [0.6587067, 0.2032058, 0.6914967, 0.35894498], 'tracking_id': 7}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [383.6021041870117, 64.4986367225647, 395.66463470458984, 104.46412324905396], 'bbox': [0.5993783, 0.13437216, 0.618226, 0.21763359], 'tracking_id': 10}]",[]
1.0,2022-06-08 08:47:06,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [269.18176651000977, 289.41965103149414, 307.547664642334, 413.2852363586426], 'bbox': [0.4205965, 0.6029576, 0.48054323, 0.8610109], 'tracking_id': 1}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [451.47342681884766, 297.57476806640625, 509.8231887817383, 446.35568618774414], 'bbox': [0.7054272, 0.61994743, 0.79659873, 0.9299077], 'tracking_id': 0}]",[]
1.0,2022-06-08 08:47:06,3,0,0.96,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [454.73106384277344, 289.5211601257324, 506.759033203125, 426.423282623291], 'bbox': [0.7105173, 0.6031691, 0.791811, 0.88838184], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [271.4557647705078, 90.4991626739502, 284.6141052246094, 127.78920650482178], 'bbox': [0.42414963, 0.18853992, 0.44470954, 0.2662275], 'tracking_id': 15}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [237.79720306396484, 334.09043312072754, 282.46944427490234, 466.61112785339355], 'bbox': [0.37155813, 0.69602174, 0.4413585, 0.9721065], 'tracking_id': 1}]",[]
1.0,2022-06-08 08:47:07,4,0,0.95,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [463.3685302734375, 282.67444610595703, 511.30882263183594, 416.4466667175293], 'bbox': [0.7240133, 0.5889051, 0.79892004, 0.8675972], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [264.36391830444336, 95.18966674804688, 277.95495986938477, 132.14145183563232], 'bbox': [0.41306862, 0.1983118, 0.43430462, 0.2752947], 'tracking_id': 15}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [206.6951560974121, 398.1455612182617, 257.24218368530273, 479.4646453857422], 'bbox': [0.32296118, 0.8294699, 0.4019409, 0.9988847], 'tracking_id': 1}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [410.6609344482422, 75.36981582641602, 427.5255584716797, 139.5333194732666], 'bbox': [0.6416577, 0.15702045, 0.6680087, 0.29069442], 'tracking_id': 16}]",[]
1.0,2022-06-08 08:47:07,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [467.5425338745117, 265.84376335144043, 506.9173049926758, 399.3969440460205], 'bbox': [0.7305352, 0.5538412, 0.7920583, 0.83207697], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [253.97062301635742, 96.9110369682312, 267.15532302856445, 139.92170333862305], 'bbox': [0.3968291, 0.201898, 0.4174302, 0.29150355], 'tracking_id': 15}]",[]
1.0,2022-06-08 08:47:08,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [467.25955963134766, 260.78418731689453, 507.1017837524414, 387.58031845092773], 'bbox': [0.73009306, 0.5433004, 0.79234654, 0.807459], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [250.96420288085938, 96.48699760437012, 264.67491149902344, 137.99969673156738], 'bbox': [0.39213157, 0.20101458, 0.41355455, 0.28749937], 'tracking_id': 15}]",[]
1.0,2022-06-08 08:47:09,3,0,0.96,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [468.2533264160156, 253.493013381958, 507.5456237792969, 381.24587059020996], 'bbox': [0.7316458, 0.52811044, 0.79304004, 0.79426223], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [245.1134490966797, 99.3739914894104, 258.5732650756836, 144.17276859283447], 'bbox': [0.38298976, 0.20702915, 0.40402073, 0.30035993], 'tracking_id': 15}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [395.0526809692383, 144.32415962219238, 421.6856002807617, 222.16192245483398], 'bbox': [0.6172698, 0.30067533, 0.65888375, 0.46283734], 'tracking_id': 20}]",[]
1.0,2022-06-08 08:47:09,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [466.1991882324219, 249.25209045410156, 511.45652770996094, 366.62452697753906], 'bbox': [0.72843623, 0.5192752, 0.7991508, 0.7638011], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [235.80615997314453, 101.74740314483643, 249.50340270996094, 145.19080638885498], 'bbox': [0.36844712, 0.21197376, 0.38984907, 0.30248085], 'tracking_id': 15}]",[]
1.0,2022-06-08 08:47:10,3,0,0.96,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [466.3047790527344, 244.5696258544922, 505.6388854980469, 365.5681800842285], 'bbox': [0.7286012, 0.50952005, 0.79006076, 0.7616004], 'tracking_id': 0}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [229.65972900390625, 105.1902437210083, 245.2233123779297, 147.87441730499268], 'bbox': [0.35884333, 0.21914634, 0.38316143, 0.3080717], 'tracking_id': 15}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [387.7191925048828, 158.4221076965332, 412.82737731933594, 240.32403945922852], 'bbox': [0.60581124, 0.33004606, 0.6450428, 0.5006751], 'tracking_id': 20}]",[]
