Version,Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore,Detections,ViolationsIndexes
1.0,2022-05-25 15:48:26,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [201.32122039794922, 143.2100486755371, 270.16910552978516, 271.63830757141113], 'bbox': [0.3145644, 0.29835427, 0.42213923, 0.56591314], 'tracking_id': 0}]",[]
1.0,2022-05-25 15:48:26,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [3.067789077758789, 214.42741870880127, 170.5996322631836, 479.0473937988281], 'bbox': [0.0047934204, 0.4467238, 0.26656193, 0.9980154], 'tracking_id': 1}]",[]
1.0,2022-05-25 15:48:27,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [-5.278120040893555, 195.50082206726074, 242.94219970703125, 475.405912399292], 'bbox': [-0.008247063, 0.40729338, 0.3795972, 0.990429], 'tracking_id': 1}]",[]
1.0,2022-05-25 15:48:27,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [-2.718229293823242, 176.72624588012695, 245.17818450927734, 483.56489181518555], 'bbox': [-0.0042472333, 0.36817968, 0.3830909, 1.0074269], 'tracking_id': 1}]",[]
1.0,2022-05-25 15:48:28,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [46.647329330444336, 150.89580059051514, 193.3676528930664, 425.1601982116699], 'bbox': [0.07288645, 0.31436625, 0.30213696, 0.8857504], 'tracking_id': 2}]",[]
1.0,2022-05-25 15:48:29,0,0,1.0,[],[]
1.0,2022-05-25 15:48:29,0,0,1.0,[],[]
1.0,2022-05-25 15:48:30,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [206.8571662902832, 150.16177654266357, 373.8853454589844, 429.3768882751465], 'bbox': [0.32321432, 0.31283703, 0.58419585, 0.8945352], 'tracking_id': 4}]",[]
1.0,2022-05-25 15:48:30,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [240.83181381225586, 151.91079139709473, 405.9635925292969, 350.0273609161377], 'bbox': [0.3762997, 0.31648082, 0.6343181, 0.72922367], 'tracking_id': 4}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [-9.72726821899414, 186.6146421432495, 244.46237564086914, 473.7106132507324], 'bbox': [-0.015198857, 0.3887805, 0.38197246, 0.9868971], 'tracking_id': 5}]",[]
1.0,2022-05-25 15:48:31,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [3.141813278198242, 176.93840503692627, 219.6259307861328, 487.13327407836914], 'bbox': [0.0049090832, 0.36862168, 0.34316552, 1.014861], 'tracking_id': 5}]",[]
