Version,Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore,Detections,ViolationsIndexes
1.0,2022-06-01 09:59:41,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [417.89344787597656, 148.8208293914795, 580.5208587646484, 383.0774402618408], 'bbox': [0.6529585, 0.3100434, 0.90706384, 0.798078], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:41,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [387.12574005126953, 132.53236770629883, 539.6923446655273, 342.5361156463623], 'bbox': [0.60488397, 0.2761091, 0.8432693, 0.7136169], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:42,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [327.7006149291992, 139.30729866027832, 484.0785598754883, 319.7751045227051], 'bbox': [0.5120322, 0.29022354, 0.75637275, 0.66619813], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:42,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [273.87807846069336, 128.97628784179688, 425.3313446044922, 316.20500564575195], 'bbox': [0.4279345, 0.2687006, 0.6645802, 0.6587604], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:43,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [282.1186637878418, 122.39298820495605, 397.14160919189453, 295.8852195739746], 'bbox': [0.4408104, 0.2549854, 0.62053376, 0.61642754], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:43,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [4.4118499755859375, 206.91524505615234, 217.62250900268555, 483.94495010375977], 'bbox': [0.0068935156, 0.43107343, 0.34003517, 1.0082186], 'tracking_id': 24}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [295.0752639770508, 118.31409931182861, 414.54097747802734, 287.4165916442871], 'bbox': [0.4610551, 0.2464877, 0.6477203, 0.59878457], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:44,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [326.6593551635742, 125.86574077606201, 406.4970016479492, 259.3231773376465], 'bbox': [0.51040524, 0.2622203, 0.63515157, 0.5402566], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:44,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [323.00304412841797, 117.6048231124878, 405.2632522583008, 262.81328201293945], 'bbox': [0.50469226, 0.24501005, 0.63322383, 0.5475277], 'tracking_id': 17}]",[]
1.0,2022-06-01 09:59:45,0,0,1.0,[],[]
1.0,2022-06-01 09:59:45,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [288.6639213562012, 113.44619035720825, 366.77955627441406, 264.0191173553467], 'bbox': [0.45103738, 0.23634623, 0.57309306, 0.5500398], 'tracking_id': 26}]",[]
1.0,2022-06-01 09:59:46,0,0,1.0,[],[]
