DetectedObjects,NoInfringement,LowInfringement,HighInfringement,CriticalInfringement
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11,11,0,0,0
40,37,3,0,0
